Date,cl_period,KEY_PERIOD,BC,r
2026-08-12,CL,10Y,BYN,0.12476211904018963
2026-08-12,CL,1D,CBOM,0.12471115277230181
2026-08-12,CL,1W,CBOM,0.12471115277230181
2026-08-12,CL,2W,CBOM,0.12471115277230181
2026-08-12,CL,1M,CBOM,0.12471115277230181
2026-08-12,CL,2M,CBOM,0.049695054179768994
2026-08-12,CL,3M,CBOM,-0.04407506906089702
2026-08-12,CL,6M,CBOM,-0.15972488772438512
2026-08-12,CL,9M,CBOM,-0.15972488772438512
2026-08-12,CL,1Y,CBOM,-0.15972488772438512
2026-08-12,CL,2Y,CBOM,-0.15972488772438512
2026-08-12,CL,3Y,CBOM,-0.15972488772438512
2026-08-12,CL,4Y,CBOM,-0.15972488772438512
2026-08-12,CL,5Y,CBOM,-0.15972488772438512
2026-08-12,CL,6Y,CBOM,-0.15972488772438512
2026-08-12,CL,7Y,CBOM,-0.15972488772438512
2026-08-12,CL,8Y,CBOM,-0.15972488772438512
2026-08-12,CL,9Y,CBOM,-0.15972488772438512
2026-08-12,CL,10Y,CBOM,-0.15972488772438512
2026-08-12,CL,1D,CHINA,0.030184972857477173
2026-08-12,CL,1W,CHINA,0.030184972857477173
2026-08-12,CL,2W,CHINA,0.030184972857477173
2026-08-12,CL,1M,CHINA,0.030184972857477173
2026-08-12,CL,2M,CHINA,0.030184972857477173
2026-08-12,CL,3M,CHINA,0.030184972857477173
2026-08-12,CL,6M,CHINA,0.030184972857477173
2026-08-12,CL,9M,CHINA,0.030184972857477173
2026-08-12,CL,1Y,CHINA,0.030184972857477173
2026-08-12,CL,2Y,CHINA,0.030184972857477173
2026-08-12,CL,3Y,CHINA,0.030184972857477173
2026-08-12,CL,4Y,CHINA,0.030184972857477173
2026-08-12,CL,5Y,CHINA,0.030184972857477173
2026-08-12,CL,6Y,CHINA,0.030184972857477173
2026-08-12,CL,7Y,CHINA,0.030184972857477173
2026-08-12,CL,8Y,CHINA,0.030184972857477173
2026-08-12,CL,9Y,CHINA,0.030184972857477173
2026-08-12,CL,10Y,CHINA,0.030184972857477173
2026-08-12,CL,1D,CHMFM,0.09459090313120957
2026-08-12,CL,1W,CHMFM,0.09459090313120957
2026-08-12,CL,2W,CHMFM,0.09459090313120957
2026-08-12,CL,1M,CHMFM,0.09459090313120957
2026-08-12,CL,2M,CHMFM,0.10138505306313653
2026-08-12,CL,3M,CHMFM,0.1098777404780452
2026-08-12,CL,6M,CHMFM,0.12035205495643259
2026-08-12,CL,9M,CHMFM,0.12035205495643259
2026-08-12,CL,1Y,CHMFM,0.12035205495643259
2026-08-12,CL,2Y,CHMFM,0.12035205495643259
2026-08-12,CL,3Y,CHMFM,0.12035205495643259
2026-08-12,CL,4Y,CHMFM,0.12035205495643259
2026-08-12,CL,5Y,CHMFM,0.12035205495643259
2026-08-12,CL,6Y,CHMFM,0.12035205495643259
2026-08-12,CL,7Y,CHMFM,0.12035205495643259
2026-08-12,CL,8Y,CHMFM,0.12035205495643259
2026-08-12,CL,9Y,CHMFM,0.12035205495643259
2026-08-12,CL,10Y,CHMFM,0.12035205495643259
2026-08-12,CL,1D,CNI,0.11624008652360734
2026-08-12,CL,1W,CNI,0.11624008652360734
2026-08-12,CL,2W,CNI,0.11624008652360734
2026-08-12,CL,1M,CNI,0.11624008652360734
2026-08-12,CL,2M,CNI,0.10835402514533929
2026-08-12,CL,3M,CNI,0.09849644842250421
2026-08-12,CL,6M,CNI,0.08633877046434096
2026-08-12,CL,9M,CNI,0.08633877046434096
2026-08-12,CL,1Y,CNI,0.08633877046434096
2026-08-12,CL,2Y,CNI,0.08633877046434096
2026-08-12,CL,3Y,CNI,0.08633877046434096
2026-08-12,CL,4Y,CNI,0.08633877046434096
2026-08-12,CL,5Y,CNI,0.08633877046434096
2026-08-12,CL,6Y,CNI,0.08633877046434096
2026-08-12,CL,7Y,CNI,0.08633877046434096
2026-08-12,CL,8Y,CNI,0.08633877046434096
2026-08-12,CL,9Y,CNI,0.08633877046434096
2026-08-12,CL,10Y,CNI,0.08633877046434096
2026-08-12,CL,1D,CNY,0.0684063707376163
